date,vibration_mm_s,current_a,voltage_v,power_factor,temperature_c,runtime_hours,bearing_condition,health_status,failure_mode
2024-11-10,3.0171323398109138,87.45710576830751,416.4677896608332,0.7821709097688297,64.43214991216763,5157,Good,Warning,Early bearing wear
2024-11-13,3.206552803631572,101.76441555277223,413.1648608045834,0.808620488967564,62.980719415231874,5213,Worn,Warning,Early bearing wear
2024-11-16,3.00855177944758,113.74876419148184,411.77017910437735,0.8100403996674873,60.58628238908984,5276,Good,Warning,Early bearing wear
2024-11-18,3.114094365542228,84.36809191303342,419.4155488857358,0.8461081401493599,62.39760043204687,5316,Good,Warning,Early bearing wear
2024-11-20,3.4766352052688823,85.61722021682633,419.596144672876,0.8165927957230503,72.96648888108773,5347,Worn,Warning,Early bearing wear
2024-11-21,4.040024032857325,95.52678104341248,421.4050818086756,0.8533927755263702,68.0138683756111,5368,Good,Warning,Early bearing wear
2024-11-22,3.8223664086472375,91.53643345009128,411.7822508384127,0.901498040879058,62.22612333946729,5378,Worn,Warning,Early bearing wear
2024-11-23,3.458175768379002,90.44877420650649,417.1179953279673,0.95,58.71233542872864,5392,Good,Warning,Early bearing wear
2024-11-24,3.7521097283363782,114.12220555415428,414.6017930437714,0.8726185898124866,58.88803235926561,5412,Fair,Warning,Early bearing wear
2024-11-25,4.034153548603824,98.12855734995452,419.9286499783993,0.9093693025782376,77.29781821009307,5426,Worn,Warning,Early bearing wear
2024-11-26,4.1898165866067885,103.25796316582166,415.9719215078867,0.8323416853594655,66.19241921730845,5437,Good,Warning,Early bearing wear
2024-11-27,3.8322992949304857,101.68460976269614,421.5879876780398,0.799672871736018,70.34939280564524,5457,Good,Warning,Early bearing wear
2024-11-29,4.128565968850559,90.0069776770509,412.4761253938589,0.8920310013252276,67.6836678410069,5493,Fair,Warning,Early bearing wear
2024-11-30,4.100533950415153,96.33175588185313,413.0412092547809,0.8038794907750748,73.1768784473472,5512,Fair,Warning,Early bearing wear
2024-12-01,4.13883976539433,112.17158520825495,422.60658025961226,0.899915544907398,63.09189843640976,5527,Worn,Warning,Early bearing wear
2024-12-13,4.451844695781706,89.46317580853646,409.660985392104,0.8975153795986788,75.60306686290963,5716,Fair,Warning,Early bearing wear
2024-12-16,4.148383853500381,106.77875319530908,411.72962158436286,0.7584683551571771,70.0560129976249,5783,Worn,Warning,Early bearing wear
2025-04-06,3.0549592780026806,106.06723059136183,414.08401690639806,0.8767252824240275,64.43827712936918,7525,Good,Warning,Early bearing wear
2025-08-02,3.463118853218164,79.15887060501412,423.6234832488056,0.8356276240299823,61.43664452201504,9435,Worn,Warning,Early bearing wear
2026-09-01,3.0384301850902515,113.60115900180313,408.7772874995764,0.8616434043713449,56.959969285313385,15860,Good,Warning,Early bearing wear
